aid	title_google	title_onlinedoc	title_deepl
122197	Federal Policemen beat themselves with rail colleagues 	Federal police officers fight with train colleagues	Federal police officers fight with railroad colleagues
122198	HSV obliges midfielder Özcan from VfB Stuttgart 	HSV sign midfielder Özcan from VfB Stuttgart	HSV signs midfielder Özcan from VfB Stuttgart
122199	Germany pushes handball the thumbs 	Germany keeps its fingers crossed for handball players	Germany keeps its fingers crossed for handball players
122200	Does it really need a women's holiday? 	Do you really need a women's holiday?	Do we really need a women's holiday?
122201	Do not speculate on lowering with too high rent 	If the rent is too high, don't speculate on a reduction	Do not speculate on reduction if rent is too high
122202	The Chinese million claim to the 1st FC Cologne 	The Chinese demand for millions of 1. FC Köln	The Chinese demand for millions from 1. FC Köln
122203	Charlotte Knobloch speaks of AFD credentials of threats 	Charlotte Knobloch speaks of threats after the AfD scandal	Charlotte Knobloch speaks of threats after AfD éclat
122204	Dinah Schilftharth dies at 45 years 	Dinah Schilffarth dies at the age of 45	Dinah Schilffarth dies at the age of 45
122205	Union UFO announces collective bargaining agreements at Lufthansa 	Ufo union terminates collective bargaining agreements at Lufthansa	Ufo union cancels collective agreements at Lufthansa
122206	AS Monaco suspends coach Thierry Henry 	AS Monaco suspends coach Thierry Henry	AS Monaco suspends coach Thierry Henry
122207	Renovation plan is fixed - up to 1000 jobs in danger 	The restructuring plan is set - up to 1000 jobs at risk	Restructuring plan in place - up to 1,000 jobs at risk
122208	Bird gives starting signal for Berlin six days 	Vogel gives the starting signal for the Berlin six-day race	Vogel gives starting signal for Berlin six-day race
122209	Fromn renounces World Cups in Garmisch-Partenkirchen 	Vonn does without World Cups in Garmisch-Partenkirchen	Vonn forgoes World Cup in Garmisch-Partenkirchen
122210	The Bolzano Crime: Wrong Game 	The Bozen crime thriller: Wrong game	The Bolzano Thriller: False Game
122211	Shark spectacle to the debut of Coach Dan Lacroix 	Shark spectacle for the debut of coach Dan Lacroix	Sharks spectacle for the debut of coach Dan Lacroix
122212	Cup: Betis Seville with 1: 1 against Espanyol Barcelona 	Cup: Betis Sevilla 1-1 against Espanyol Barcelona	Cup: Betis Sevilla with 1:1 against Espanyol Barcelona
122213	Cologne sharks fight victory with debut of coach lacroix 	Kölner Haie fight for victory in coach Lacroix's debut	Cologne Sharks fight for victory in debut of Coach Lacroix
122214	Chocolate, Baywatch and Royals 	Chocolate, Baywatch and Royals	Chocolate, Baywatch and Royals
122215	So Cologne politicians react to the job change 	This is how Cologne politicians react to the job change	This is how Cologne politicians react to the job change
122216	"First details on his role as a ""dream ship"" captain "	First details about his role as the “dream ship” captain	"First details about his role as ""Traumschiff"" captain"
122219	The last act of the conductor 	The last act of the conductor	The last act of the conductor
122220	China is not that bad 	China isn't that bad at all	China is not so bad
122221	New water dispenser for environmentally conscious rural Council Lucas Gymnasium 	New water dispenser for environmentally conscious district administrator Lucas-Gymnasium	New water dispenser for environmentally conscious Landrat-Lucas-Gymnasium
122222	Images for eye and head 	Images for the eyes and the head	Images for eye and head
122223	From Eichendorff to university reform 	From Eichendorff on the university reform	From Eichendorff to university reform
122224	Two-class system 	Two-tier system	Two-class system
122225	From the diary of life 	From the diary of life	From the diary of life
122226	Hunger was the drug 	Hunger was the drug	Hunger was the drug
122227	Which gyms are suitable for people from 65 	Which fitness studios are suitable for people aged 65 and over	Which gyms are suitable for people over 65
122229	Premiere in front of the audience 	Premiere in front of an audience	Premiere in front of an audience
122230	Security service sets airbnb tourists in front of the door 	Security service puts Airbnb tourists in front of the door	Security service puts Airbnb tourists outside the door
122231	Schalke's Supervisory Board Tönnies hopes for re-election 	Schalke's supervisory board chairman Tönnies hopes for re-election	Schalke's supervisory board chairman Tönnies hopes for re-election
122232	Hertha wants, Schalke must: Dardai has surprise plan 	Hertha wants, Schalke has to: Dardai has a surprise plan	Hertha wants, Schalke must: Dardai has surprise plan
122233	On Friday, three stars have to leave the jungle camp 	Three stars have to leave the jungle camp on Friday	On Friday, three stars must leave the jungle camp
122234	Municipalities should pay 147 million to Euskirchen district 	Municipalities are to pay 147 million to the district of Euskirchen	Municipalities to pay 147 million to Euskirchen district
122236	Today's Rhein-Victory County has many roots 	Today's Rhein-Sieg district has many roots	Today's Rhein-Sieg district has many roots
122238	State Secretary made a picture of the protest in Hürth 	State Secretary in Hürth got an idea of ​​the protest	State secretary made himself a picture of the protest in Hürth
122239	How often and how long should you vent the bedroom in winter? 	How often and for how long should you ventilate the bedroom in winter?	How often and how long should you ventilate the bedroom in winter?
122240	New construction of condominiums on the settlement meadow 	Construction of new condominiums on the settlement meadow	New construction of condominiums on the settlement meadow
122241	Despite World Cup euphoria: handball and football separate worlds 	Despite World Cup euphoria: handball and soccer are worlds apart	Despite World Cup euphoria: handball and soccer are worlds apart
122243	Opening of the Frankfurt bus station is delayed 	Opening of the Frankfurt long-distance bus station has been delayed	Opening of Frankfurt long-distance bus station delayed
122244	Tens of thousands want to prevent Germany concerts of R. Kelly 	Tens of thousands want to prevent R. Kelly's concerts in Germany	Tens of thousands want to prevent R. Kelly concerts in Germany
122245	Commission decides on the future of the Rhenish Revier 	Commission decides on the future of the Rheinische Revier	Commission decides on the future of the Rhenish coalfield
122246	The little fairytale story behind this ghost town 	The little fairytale story behind this ghost town	The little fairy tale story behind this ghost town
122247	Refugee hatel in Reichshof looking urgently volunteer 	Refugee workers in Reichshof are urgently looking for volunteers	Refugee helpers in Reichshof urgently seek volunteers
122248	Request, Donald Trump accurate is louder 	Call to indict Donald Trump grows louder	Calls to impeach Donald Trump grow louder
122249	Coal Commission in potentially crucial round 	Coal commission in possibly decisive round	Coal commission in possibly decisive round
122250	But is the boom of duration? 	But is the boom lasting?	But will the boom last?
122251	Ringing around Darmstadt's bike paths continues 	The struggle for Darmstadt's cycle paths continues	Struggle over Darmstadt's cycle paths continues
122252	Can a 93-year-old still move? 	Can a 93-year-old still move?	Can a 93-year-old even move?
122253	"""Congratulations on you invited me"" "	"""Congratulations on inviting me"""	"""Congratulations for inviting me"""
122254	Exhibition for stimulus floodlight shows the absurd power of the pictures 	The overstimulation exhibition shows the absurd power of images	Exhibition on sensory overload shows the absurd power of images
122255	Exploding costs for Kreistraus cultivation in Euskirchen 	Costs for district building in Euskirchen explode	Costs for district building extension in Euskirchen explode
122256	Cheaters currently in Brühl travel - do not sign a hectic 	Fraudsters are currently on the road in Brühl - don't sign anything hectic	Fraudsters currently on the move in Brühl - Do not sign anything frantically
122257	Junction for SPD push to health insurance 	Headwind for SPD push for health insurance	Headwind for SPD proposal on health insurance
122258	Confederation: Critique of lung physicians to nitric oxide limit absurd 	BUND: Lung doctors' criticism of nitrogen oxide limit values ​​is absurd	BUND: Criticism of lung physicians of nitrogen oxide limit value absurd
122259	Surprise in the jungle camp: Nobody has to go 	Surprise in the jungle camp: Nobody has to go	Surprise in the jungle camp: No one has to go
122260	"Florian Silbenisen becomes new ""dream ship"" captain "	Florian Silbereisen becomes the new “Traumschiff” captain	"Florian Silbereisen becomes new ""Traumschiff"" captain"
122261	Hilal has disappeared for 20 years 	Hilal disappeared for 20 years	Hilal disappeared for 20 years
122262	Merkel can not keep up - Kramp carteworker more popular than the Chancellor 	Merkel cannot keep up - Kramp-Karrenbauer is more popular than the Chancellor	Merkel can't keep up - Kramp-Karrenbauer more popular than the chancellor
122263	"BVB-Profi Weigl over Handballer: ""Team spirit impressed"" "	"BVB professional Weigl on handball players: ""Team spirit impresses"""	"BVB pro Weigl on handballers: ""Team spirit impressed""."
122264	Robert Redford opens Sundance Festival in Utah 	Robert Redford opens Sundance Festival in Utah	Robert Redford opens Sundance Festival in Utah
122265	Ex-National Torwart Fritz: Germany Favorite against Norway 	Ex-national goalkeeper Fritz: Germany favorite against Norway	Former national goalkeeper Fritz: Germany favorite against Norway
122266	Guggenheim Museum shows photos of Robert Mapplethorpe 	Guggenheim Museum shows photos by Robert Mapplethorpe	Guggenheim Museum shows photos by Robert Mapplethorpe
122267	Suspect denies statements of paramedics 	Suspect denies the paramedics' statements	Suspect denies statements of paramedics
122268	"""Made in Rhineland"": Fotokunst im Museum Morsbroich "	“Made in the Rhineland”: Photo art in the Morsbroich Museum	"""Made in the Rhineland"": photographic art at Museum Morsbroich"
122270	"""The Big Lebowski 2"": Jeff Bridges heaters speculation "	"""The Big Lebowski 2"": Jeff Bridges fuels speculation"	"""The Big Lebowski 2"": Jeff Bridges fuels speculation"
122271	"""Green Book"": Viggo Mortensen wants to encourage thought "	“Green Book”: Viggo Mortensen wants to stimulate thought	"""Green Book"": Viggo Mortensen wants to inspire reflection"
122272	"Pink is honored at the ""Walk of Fame"" "	Pink is honored on the “Walk of Fame”	Pink is honored on the Walk of Fame
122273	Cologne police want to keep pressure on rocker bands upright 	Cologne police want to keep pressure on rocker gangs	Cologne police want to keep up the pressure on rock gangs
122274	Premiere in the UN Security Council: Maas talks about climate protection 	Premiere in the UN Security Council: Maas talks about climate protection	Premiere in the UN Security Council: Maas speaks about climate protection
122275	Australian Open Final: Kvitova wants comeback crown 	Australian Open final: Kvitova wants to crown the comeback	Australian Open final: Kvitova wants to crown comeback
122276	FDP holds a renovation of the town hall for done 	FDP considers a renovation of the town hall to be done	FDP considers redevelopment of the town hall to be done
122277	1 & 1 Drillish wants to become a network operator 	1 & 1 Drillisch wants to become a network operator	1&1 Drillisch wants to become a network operator
122278	"Hochschulgesetz: More freedom or ""student gusset"" "	"University Act: More Freedom or ""Student Restrictions"""	"Higher Education Act: More freedom or ""student control"""
122279	Grüter complains dwindling appreciation of art 	Grütters laments the dwindling appreciation of art	Grütters laments dwindling appreciation of art
122280	NBA Professional Schröder brings fourth victory in a row with Oklahoma 	NBA pro Schröder takes fourth win in a row with Oklahoma	NBA pro Schröder gets fourth win in a row with Oklahoma
122282	New settlement planned by 2025 	New settlement planned by 2025	New settlement planned by 2025
122283	The weather in NRW shows on the weekend milder 	The weather in NRW is milder at the weekend	The weather in NRW is milder at the weekend
122284	Raab, Engelke, Kebekus - These comedy sizes live all in Cologne 	Raab, Engelke, Kebekus - these comedy greats all live in Cologne	Raab, Engelke, Kebekus - These comedy greats all live in Cologne
122285	INF dispute: NATO sees no negotiation 	INF dispute: NATO sees no room for negotiation	INF dispute: NATO sees no room for negotiation
122286	Martina S. was a year with a narcist together 	Martina S. was with a narcissist for a year	Martina S. was with a narcissist for a year
122287	Find Julies: Nearly two and a half meters are still missing 	Search for Julen: Almost two and a half meters are still missing	Search for Julen: Almost two and a half meters still missing
122288	What has done in Nümbrecht in 2018 - and what is right now 	What happened in Nümbrecht in 2018 - and what's coming up now	What happened in Nümbrecht in 2018 - and what's coming up now
122289	Church Circle lays down the church music program for 2019 	Kirchenkreis presents the church music program for 2019	Church district presents the church music program for 2019
122290	Fabric lyousy separates track 1 at the train station in Siegburg 	A fabric blind separates platform 1 at the train station in Siegburg	Fabric blind separates track 1 at Siegburg station
122291	Gladbacher parties say goodbye Resolution against anti-Semitism 	Gladbach parties pass resolution against anti-Semitism	Gladbach parties pass resolution against anti-Semitism
122292	Citizenlist wants to terminate Leverkusen austerity course 	Citizens' list wants to cancel Leverkusen austerity course	Citizens' List wants to reverse Leverkusen's austerity course
122294	"""Withdrawal Joker"" for diesel cars? "	“Cancellation joker” for diesel cars?	"""Revocation joker"" for diesel cars?"
122295	Currency Hats report on counterfeiting development 	Monetary authorities report on the development of counterfeit money numbers	Monetary guardians report on counterfeit money figures development
122296	China, iPhone and Cloud Cooling Brakes Intel 	China, iPhone and cloud cooling are holding back Intel	China, iPhone and cloud cooling slow Intel down
122297	BER defects employ Supervisory Board 	BER deficiencies concern the supervisory board	BER deficiencies occupy supervisory board
122298	Ifo business climate falls on four-year low 	Ifo business climate falls to three-year low	Ifo business climate falls to three-year low
122299	Mika Häkkinen gives travel tips for the winter 	Mika Häkkinen gives driving tips for the winter	Mika Häkkinen gives driving tips for the winter
122300	Who exists, does not always blame 	Whoever drives up is not always to blame	Whoever is rear-ended is not always to blame
122301	More than 9 million look Handball 	More than 9 million watch handball	More than 9 million watch handball
122302	Russia fights against too much alcohol 	Russia is fighting against too much alcohol	Russia fights against too much alcohol
122303	FC coach Markus beginning warns of great competition 	FC coach Markus Anfang warns of great competition	FC coach Markus Anfang warns of great competition
122304	"Lobby club ""Metropol Region Rheinland"" has so far achieved little "	The lobby association “Metropolitan Rhineland” has achieved little so far	"Lobby association ""Metropolitan Region Rhineland"" has achieved little so far"
122305	Passenger becomes Rabiat - Flyer must intermediate land 	Passengers get brutal - the plane has to make a stopover	Passenger becomes rabid - plane has to make a stopover
122306	BVB gives Isak to Club Willem II 	BVB lends Isak to Club Willem II	BVB lends Isak to Club Willem II
122307	"""Friday will not be my last strike day"" "	"""Friday won't be my last day of strike"""	"""Friday will not be my last day on strike""."
122308	New emergency exits in the Kalker Tunnel are locked 	New emergency exits in the Kalker Tunnel are blocked	New emergency exits in Kalker Tunnel are blocked
122309	New special models of Kia, Dacica, Maserati and Renault 	New special models from Kia, Dacica, Maserati and Renault	New special models from Kia, Dacica, Maserati and Renault
122310	25-year-old breaks from boredom mailbox of the police 	25-year-old breaks open the police mailbox out of boredom	25-year-old breaks open police mailbox out of boredom
122311	New Cathedral chains to fall in love 	New cathedral chains to fall in love with	New dome chains to fall in love
122312	Swedish trucks rescue German life 	Swedish downhill skiers save Germans' lives	Swedish downhill skiers save German man's life
122313	"Bosz against Alario change: ""Need all good players"" "	"Bosz versus Alario change: ""All good players need"""	"Bosz against Alario change: ""Need all good players""."
122314	Djokovic wins in the flash tempo: Final against Nadal 	Djokovic wins at lightning speed: final against Nadal	Djokovic wins at lightning speed: final against Nadal
122315	Norway protects against German handballs on revenge 	Norway is looking for revenge against German handball players	Norway eager for revenge against German handball players
122316	"World Champion Kehrmann praises Wiencek: ""The most important man"" "	"World champion Kehrmann praises Wiencek: ""The most important man"""	"World champion Kehrmann praises Wiencek: ""The most important man""."
122317	Matt Damon in borrowed clothes in Davos 	Matt Damon in borrowed clothes in Davos	Matt Damon in borrowed clothes in Davos
122318	"""Hello, her Banausen"": Reichmann writes letter to DHB team "	“Hello, you banausen”: Reichmann writes a letter to the DHB team	"""Hello, you philistines"": Reichmann writes letter to DHB team"
122319	Reschke asked as VFB crisis manager 	Reschke asked as a VfB crisis manager	Reschke in demand as VfB crisis manager
122320	Vodafone business attracts to cable contracts 	Vodafone business is picking up after cable contracts	Vodafone business picks up after cable contracts
122321	Man or woman first in the tax form? 	Man or woman first on the tax form?	Man or woman first in the tax form?
122323	Venezuela: Germany is considering recognition of Guaidó 	Venezuela: Germany is considering recognizing Guaidó	Venezuela: Germany considers recognition of Guaidó
122324	Traffic expert: No solution of the dam problem in sight 	Traffic expert: No solution to the congestion problem in sight	Traffic expert: No solution to the congestion problem in sight
122325	"Can Florian Silbereisen ""Dream Ship"" captain? "	Can Florian Silbereisen become a “dream ship” captain?	"Can Florian Silbereisen ""Traumschiff"" captain?"
122326	Student in fear of Whatsapp chain letter 	Schoolchildren in fear of WhatsApp chain letter	Pupils in fear because of Whatsapp chain letter
122327	Glaad Awards: Nomination for Queen Film withdrawn 	GLAAD Awards: nomination for Queen film withdrawn	GLAAD Awards: Nomination withdrawn for Queen film
122328	Man throws package on balcony - Hermes shocked	Man throws package on balcony - Hermes shocked	Man throws parcel onto balcony - Hermes shocked
122329	Photos from devastated refugee home Derkum should be Fakes 	Photos from the devastated Derkum refugee home are said to be fakes	Photos from devastated refugee home Derkum are said to be fakes
122330	Coca Cola and Pepsi promise successes against plastic waste 	Coca Cola and Pepsi promise success against plastic waste	Coca Cola and Pepsi promise success against plastic waste
122331	What is there on the citizens in a circle? 	What else can the citizens of the district have in store?	What else is in store for the citizens of the district?
122332	Hunter shooters shot his daughter 	Hunter accidentally shoots his daughter	Hunter accidentally shoots his daughter
122334	Eisenbichler and Leyhe at ski jump quality in Sapporo strong 	Eisenbichler and Leyhe strong in ski jumping qualification in Sapporo	Eisenbichler and Leyhe strong at ski jumping qualifier in Sapporo
122335	US policy consultant Roger Stone arrested 	US policy advisor Roger Stone arrested	US political advisor Roger Stone arrested
122336	Heights, depths and records in the Rhine win 	Highs, lows and records in the Rhein-Sieg district	Highs, lows and records in the Rhein-Sieg district
122337	Recall due to foreign bodies in sausages at Penny and REWE 	Recall due to foreign objects in sausages at Penny and Rewe	Recall because of foreign bodies in sausages at Penny and Rewe
122338	Doppingblock for Marathon Olympic Champion Sumgong doubled 	Doping ban doubled for Olympic marathon champion Sumgong	Doping ban doubled for Olympic marathon champion Sumgong
122340	Man exudes irritating gas in the subway stop and flees 	Man sprays irritant gas in the subway station and escapes	Man sprays irritant gas at subway stop and flees
122341	Man kicks the teeth 26-year-old on platform 	Man kicks 26-year-old's teeth on the platform	Man kicks 26-year-old man's teeth out on platform
122343	"""Emma"" brings Märklin on track "	“Emma” puts Märklin on track	"""Emma"" puts Märklin on track"
122344	Police helicopter in Gladbach blinded with laser pointer 	Police helicopter in Gladbach blinded with laser pointer	Police helicopter in Gladbach blinded with laser pointer
122345	New Volkswagen division Component for batteries responsible 	New Volkswagen component division responsible for batteries	New Volkswagen division Component responsible for batteries
122346	No proof of illegal race after accident with five dead 	No evidence of illegal racing after an accident with five dead	No evidence of illegal racing after accident with five deaths
122347	Heino is now honorary citizen of Bad Münstereifel 	Heino is now an honorary citizen of Bad Münstereifel	Heino is now honorary citizen of Bad Münstereifel
122348	Pilot would not seem to fly football profi sala 	The pilot should obviously not have been allowed to fly professional footballer Sala	Pilot apparently should not have flown professional footballer Sala
122349	Ferst convinces in Kitzbühel as downhill seventh 	Ferstl convinces in Kitzbühel as seventh downhill	Ferstl convinces as downhill seventh in Kitzbühel
122350	Driver device on opposite lift - two cars and a motorhome involved 	Driver gets into oncoming lane - two cars and a mobile home involved	Driver gets on the oncoming lane - two cars and a motor home involved
122351	Gerry Weber is insolvent 	Gerry Weber is insolvent	Gerry Weber is insolvent
122352	Police find weapons and shot cartridges in Shisha Bar 	Police find guns and shot cartridges in shisha bar	Police find weapons and bullets in shisha bar
122353	"Günter Vollmer reads in the series ""Angel type in the houses"" "	"Günter Vollmer reads in the series ""EngelsArt in the houses"""	"Günter Vollmer reads in the series ""EngelsArt in the Houses"
122354	Flight delay due to mouse on board 	Flight delay due to mouse on board	Flight delay because of mouse on board
122355	2018 Fourth Had Year since the beginning of the recordings 	2018 fourth warmest year on record	2018 fourth warmest year since records began
122356	DFB lays home game locations for EM Quali 2019 	DFB sets home venues for European Championship qualifiers 2019	DFB sets home venues for 2019 European Championship qualifiers
122357	Best slopes in Alps and medium mountains 	Best slope conditions in the Alps and low mountain ranges	Best piste conditions in the Alps and low mountain ranges
122358	Cologne police are looking for fraud 	Cologne police are looking for fraudsters	Cologne police search for fraudster
122359	Topmodel Bar Refaeli as ESC hostess in Israel 	Top model Bar Refaeli as ESC host in Israel	Top model Bar Refaeli as ESC host in Israel
122360	Chancellor Merkel sends video message to DHB team 	Chancellor Merkel sends video message to DHB team	Chancellor Merkel sends video message to DHB team
122361	Does striped clothes have to be in the dark or bright lingerie? 	Do striped clothing have to go into the dark or light wash?	Do striped clothes have to go in the dark or light wash?
122362	Wolfgang Pichler ends successful coach career 	Wolfgang Pichler ends successful coaching career	Wolfgang Pichler ends successful coaching career
122363	Central in Essen instead of Cologne - 2600 jobs are deleted 	Headquarters in Essen instead of Cologne - 2,600 jobs will be cut	Headquarters in Essen instead of Cologne - 2600 jobs to be cut
122364	Restaurant Cäcilienhöhe expires - future uncertain 	Restaurant Cäcilienhöhe expires - future uncertain	Restaurant Cäcilienhöhe decays - future uncertain
122365	"TV commissioner to criticism of ""crime scene"": ""blow in the face"" "	"TV commissioner on criticism of ""Tatort"": ""Slap in the face"""	"TV commissioner on criticism of ""Tatort"": ""Punch in the face"""
122366	Parliament in Athens for compromise with Skopje 	Parliament in Athens for compromise with Skopje	Parliament in Athens for compromise with Skopje
122367	FC Bayern with Gnabry against VfB Stuttgart 	FC Bayern with Gnabry against VfB Stuttgart	FC Bayern with Gnabry against VfB Stuttgart
122368	Cologne police searches senior home 	Cologne police searched the retirement home	Cologne police search retirement home
122369	Unitymedia before taking over - brand before 	Unitymedia before takeover - brand before the end	Unitymedia facing takeover - brand on the brink of extinction
122370	Unknowns surprise supermarket in Hennef 	Unidentified people attacked a supermarket in Hennef	Unknown persons rob supermarket in Hennef
122371	Sheep on pasture at moitzfeld torn - gene sample 	Sheep torn in pasture near Moitzfeld - gene sample sent in	Sheep on pasture near Moitzfeld torn - gene sample sent in
122372	The Queen calls for more respect 	The Queen calls for more respect	The Queen calls for more respect
122374	Cologne artist Wolf Vostell concrete his car 	Cologne artist Wolf Vostell concreted his car	Cologne artist Wolf Vostell concreted in his car
122375	Carl-Laemmle producer price for Stefan Arndt 	Carl Laemmle Producer Award for Stefan Arndt	Carl Laemmle Producer Award for Stefan Arndt
122376	Police are looking for clubs from Cologne-Chorweiler 	Police are looking for thugs from Cologne-Chorweiler	Police looking for thug from Cologne-Chorweiler
122378	RB-Coach Rangnick leaves Forsberg use open 	RB coach Rangnick leaves Forsberg use open	RB coach Rangnick leaves Forsberg deployment open
122379	Athens agrees with Macedonia 	Athens agrees with Macedonia	Athens reaches agreement with Macedonia
122380	Shishabar owner poses racism to the police 	Shishabar owners accuse the police of racism	Shisha bar owner accuses police of racism
122381	Tuesday warning strikes in AWO facilities: Kitas affected 	Tuesday warning strikes in AWO facilities: daycare centers affected	Tuesday warning strikes in AWO facilities: Kitas affected
122382	FC St. Pauli gives Cenk Sahin to the FC Ingolstadt 	FC St. Pauli gives Cenk Sahin to FC Ingolstadt	FC St. Pauli lends Cenk Sahin to FC Ingolstadt
122383	5 hot drinks for the winter - with and without shot 	5 hot drinks for the winter - with and without a shot	5 hot drinks for winter - with and without shot
122384	Customers of the Mercedes-Benz Bank start first sample suit 	Mercedes-Benz Bank customers launch their first model lawsuit	Customers of Mercedes-Benz Bank launch first model lawsuit
122385	"""Silbereisen is total misconciliation for the"" dream ship "" "	"""Silbereisen is a total miscast for the"" dream ship """	"""Silbereisen is totally miscast for the ""Traumschiff""."
122386	Wild system change in the sharks under the new coach 	Wild system change with the sharks under the new coach	Wild system change at the Sharks under the new coach
122387	Treasury will be 125 billion euros 	Treasury is withheld 125 billion euros	Treasury is deprived of 125 billion euros
122388	Telekom-Gigant Huawei rejects security concerns 	Telecom giant Huawei rejects security concerns	Telecom giant Huawei rejects security concerns
122389	Rondorfer can test electric cars for free 	Rondorf residents can test electric cars free of charge	Rondorfer can test electric cars free of charge
122390	HSV extends contract with Bakery Jatta 	HSV extends contract with Bakery Jatta	HSV extends contract with Bakery Jatta
122391	German electrical industry Continue on record course 	German electrical industry continues on record course	German electrical industry continues on record course
122392	Top rate for the German handball team 	Top quota for the German handball team	Top quota for the German handball team
122393	Speculation to return from Krupp to the Cologne Heaven 	Speculation about Krupp's return to the Cologne Sharks	Speculation about Krupp's return to the Cologne Sharks
122394	Ronaldo accepts tax report and probation 	Ronaldo accepts back taxes and suspended sentences	Ronaldo accepts back tax payment and suspended sentence
122395	The Opel Calibra celebrates its 30th birthday 	The Opel Calibra is celebrating its 30th birthday	The Opel Calibra celebrates its 30th birthday
122396	Daimler plans further battery factory in Poland 	Daimler is planning another battery factory in Poland	Daimler plans further battery factory in Poland
122397	Sky Sport: Hudson-Odoi rejects Chelsea offer 	Sky Sport: Hudson-Odoi rejects Chelsea offer	Sky Sport: Hudson-Odoi rejects Chelsea offer
122398	WhatsApp restricts forwarding function 	WhatsApp limits forwarding function	WhatsApp restricts forwarding function
122399	Katie Price has success with initiative against bullying 	Katie Price succeeds in Anti-Bullying Initiative	Katie Price has success with initiative against bullying
122400	"Dispute over the Dortmund ""Tatort"" "	"Dispute about the Dortmund ""crime scene"""	"Dispute about the Dortmund ""Tatort"
122401	Each goal counts: Sweden hopes for World Cup miracles against Denmark 	Every goal counts: Sweden hopes for a World Cup miracle against Denmark	Every goal counts: Sweden hopes for World Cup miracle against Denmark
122402	Lace-Referre Brych: More penalties due to super-time magnifiers 	Top referee Brych: More penalties because of super slow motion	Top referee Brych: More penalties because of super slow-motion shots
122403	"""The Favorite"" and ""Roma"" are Oscar-Favorites "	“The Favorite” and “Roma” are Oscar favorites	"""The Favourite"" and ""Roma"" are Oscar favorites"
122404	Jennifer Lopez: I did not come from 	Jennifer Lopez: I came out of nowhere	Jennifer Lopez: I came from nothing
122405	ZVEREV leads Davis Cup Team against Hungary 	Zverev leads the Davis Cup team against Hungary	Zverev leads Davis Cup team against Hungary
122406	The next German opponent Spain 	The next German opponent Spain	The next German opponent Spain
122408	Silver and bronze for Schaffelhuber and Forster 	Silver and bronze for Schaffelhuber and Forster	Silver and bronze for Schaffelhuber and Forster
122409	New wheel rack, better lighting 	New bike racks, better lighting	New bike racks, better lighting
122410	Travel News: Dino skeleton, wolf hikes and roller coaster 	Travel news: dinosaur skeleton, wolf walks and roller coaster	Travel news: dinosaur skeleton, wolf walks and roller coaster
122411	What is there on Hype about alternative schools? 	What's the deal with the hype about alternative schools?	What's the hype about alternative schools?
122412	Too many mistakes: German biathlets miss podium sites 	Too many mistakes: German biathletes miss out on podium places	Too many mistakes: German biathletes miss out on podium places
122413	Cologne police investigate against six federal police officers 	Cologne police are investigating six federal police officers	Cologne police investigate six federal police officers
122414	Qatar defeated at Asia Championship Tournament Favorite South Korea 	Qatar defeats favorite South Korea in the Asian Cup	Qatar defeats tournament favorite South Korea at Asian Cup
122415	Thieves steal black Hyundai and cash 	Thieves steal black Hyundai and cash	Thieves steal black Hyundai and cash
122416	CDU excludes cooperation with AFD 	CDU excludes cooperation with AfD	CDU rules out cooperation with AfD
122417	Newspaper: Dispute due to high taxation for ADAC 	Newspaper: Dispute over high tax back payments for ADAC	Newspaper: Dispute over high back tax payment for ADAC
122418	Cyclists overlook Edeka Parking 	Overlooked cyclists in Edeka parking lot	Cyclist overlooked in Edeka parking lot
122419	Dicks for climate protection? Yes, please! 	Skipping for climate protection? Yes, please!	Playing hooky for climate protection? Yes, please!
122420	Germans from twelve countries of origin 	Germans from twelve countries of origin	Germans from twelve countries of origin
122421	Casual prince couple in use against blood cancer 	Leichlingen prince couple on duty against blood cancer	Leichlingen prince and princess in action against blood cancer
122422	Kaufhof employees in front of Cologne headquarters shocked 	Kaufhof employees in front of Cologne headquarters shocked	Kaufhof employees shocked in front of Cologne headquarters
122423	The DFB has not heard the shot 	The DFB did not hear the shot	The DFB has not heard the shot
122424	"Greta Thunberg: ""I want you to panic"" "	"Greta Thunberg: ""I want you to panic"""	"Greta Thunberg: ""I want you to panic""."
122425	Denklinger elementary school needs more space 	The Denklingen primary school needs more space	Denklingen elementary school needs more space
122426	The Peci twins from the stop do not give up 	The Peci twins from Derschlag are not giving up	The Peci twins from Derschlag do not give up
122427	"Kita ""Hoppetuke"" trains with VfL player Zhukov "	Kita “Hoppetosse” trains with VfL player Zhukov	"Kita ""Hoppetosse"" trains with VfL player Zhukov"
122429	DRK district association creates Playmobil helper in XXL format 	DRK district association creates Playmobil helpers in XXL format	DRK district association creates Playmobil helpers in XXL format
122430	Many changes for jugs through construction sites 	Lots of changes for jokes through construction sites	Many changes for Jecken due to construction sites
122431	Night to Saturday: Weather service warns of road smoothing 	Night to Saturday: weather service warns of slippery roads	Night to Saturday: Weather service warns of slippery roads
122432	1800 Rader Doll Wiever celebrations in Lindlar 	1800 Wiever's wheelers celebrate in Lindlar	1800 raderdolle Wiever celebrate in Lindlar
122433	City makes multiple family in sand forawers 	City evacuates apartment buildings in sand	City has apartment building in Sand evicted
122434	Mourning around former DTM team boss Charly Lamb 	Mourning for former DTM team boss Charly Lamm	Mourning for former DTM team boss Charly Lamm
122435	River cruise from Cologne to Amsterdam 	River cruise from Cologne to Amsterdam	River cruise from Cologne to Amsterdam
